filename, language, Vue, JavaScript, comment, blank, total
views\Bitacora.vue, Vue, 40, 0, 0, 6, 46
views\Busqueda.vue, Vue, 30, 0, 0, 7, 37
views\Calendario.vue, Vue, 6, 0, 0, 3, 9
views\Configuracion.vue, Vue, 30, 0, 0, 7, 37
views\Dashboard.vue, Vue, 0, 0, 0, 1, 1
views\DetalleActa.vue, Vue, 39, 0, 0, 7, 46
views\DetalleAgenda.vue, Vue, 64, 0, 1, 15, 80
views\DetalleLote.vue, Vue, 34, 0, 0, 5, 39
views\DetallePersona.vue, Vue, 40, 0, 0, 6, 46
views\DetallePuntoActa.vue, Vue, 66, 0, 1, 13, 80
views\Documentos.vue, Vue, 105, 0, 0, 14, 119
views\HojasContraloria.vue, Vue, 30, 0, 0, 8, 38
views\Home.vue, Vue, 96, 0, 0, 30, 126
views\ImpresionActas.vue, Vue, 59, 0, 1, 11, 71
views\Login.vue, Vue, 25, 0, 0, 6, 31
views\Personas.vue, Vue, 34, 0, 0, 6, 40
views\PuntosActa.vue, Vue, 60, 0, 1, 7, 68
views\PuntosAgenda.vue, Vue, 113, 0, 2, 14, 129
views\Revisor_Actas\Actas.vue, Vue, 30, 0, 0, 5, 35
views\Revisor_Actas\DetalleActa.vue, Vue, 39, 0, 0, 9, 48
views\Revisor_Actas\DetallePuntoActa.vue, Vue, 66, 0, 1, 13, 80
views\Revisor_Actas\PuntosActa.vue, Vue, 60, 0, 1, 7, 68
views\Revisor_Agendas\Agendas.vue, Vue, 30, 0, 0, 5, 35
views\Revisor_Agendas\DetalleAgenda.vue, Vue, 64, 0, 1, 15, 80
views\Revisor_Agendas\PuntosAgenda.vue, Vue, 91, 0, 2, 14, 107
views\Usuarios.vue, Vue, 0, 0, 0, 1, 1
Total, -, 10723, 341, 203, 2630, 13897
